U I Ig I' I'g I'' I''g
4.900000 1.237615 1.241524 0.184645 0.181201 -0.026115 -0.024554
5.000000 1.286320 1.259112 0.178676 0.178648 -0.026821 -0.024233
5.100000 1.277542 1.277521 0.184237 0.175849 -0.027366 -0.024318
5.200000 1.301637 1.295627 0.175718 0.173308 -0.022764 -0.024457
5.300000 1.302990 1.312559 0.163927 0.171317 -0.016430 -0.023940
5.400000 1.340977 1.328556 0.156946 0.169708 -0.022601 -0.023002
5.500000 1.368355 1.344244 0.160265 0.166768 -0.030613 -0.022172
5.600000 1.373674 1.360772 0.170107 0.164035 -0.019545 -0.022110
5.700000 1.352357 1.377964 0.168862 0.162668 -0.016239 -0.022457
5.800000 1.401302 1.394192 0.152967 0.160364 -0.030927 -0.022147
5.900000 1.412107 1.408974 0.155835 0.156892 -0.028240 -0.021364
6.000000 1.415597 1.425292 0.154748 0.154942 -0.016554 -0.020858
6.100000 1.449338 1.439762 0.146791 0.153180 -0.022526 -0.020429
6.200000 1.460784 1.454792 0.144419 0.150527 -0.024261 -0.019704
6.300000 1.470206 1.468825 0.148347 0.148601 -0.014939 -0.018951
6.400000 1.471280 1.484496 0.155426 0.147426 -0.010119 -0.018940
6.500000 1.494622 1.499373 0.138935 0.146299 -0.015368 -0.018757
6.600000 1.520534 1.512667 0.138891 0.144252 -0.024515 -0.017840
6.700000 1.541482 1.527475 0.153421 0.141651 -0.023969 -0.017670
